Service Type;Components;Region;Component Price;Service Price
Amazon EC2 Service (US East (N. Virginia));;;; USD 8.002 
;Compute:;US East (N. Virginia); USD 6.479 ;
;Intra-Region Data Transfer:;US East (N. Virginia); USD 0 ;
;Elastic IPs:;US East (N. Virginia); USD 59 ;
;Dedicated Per Region Fee:;US East (N. Virginia); USD 1.464 ;
;Inter-Region Data Transfer Out;US East (N. Virginia); USD 0 ;
Amazon EC2 Service (US East (Ohio));;;; USD 7.036 
;Compute:;US East (Ohio); USD 6.992 ;
;Intra-Region Data Transfer:;US East (Ohio); USD 0 ;
;Elastic IPs:;US East (Ohio); USD 44 ;
;Inter-Region Data Transfer Out;US East (Ohio); USD 0 ;
Amazon S3 Service (US East (N. Virginia));;;; USD 8 
;S3 Standard Storage:;US East (N. Virginia); USD 6 ;
;S3 Standard Put Requests:;US East (N. Virginia); USD 0 ;
;S3 Standard Other Requests:;US East (N. Virginia); USD 0 ;
;S3 Standard Select Data Returned:;US East (N. Virginia); USD 0 ;
;S3 Standard Select Data Scanned:;US East (N. Virginia); USD 0 ;
;S3 Glacier - Storage:;US East (N. Virginia); USD 1 ;
;S3 Glacier - Data Retrieval (Standard):;US East (N. Virginia); USD 1 ;
;S3 Glacier - Retrieval/Select Requests (Standard):;US East (N. Virginia); USD - ;
Amazon S3 Service (US East (Ohio));;;; USD 6 
;S3 Standard Storage:;US East (Ohio); USD 6 ;
;S3 Standard Put Requests:;US East (Ohio); USD 0 ;
;S3 Standard Other Requests:;US East (Ohio); USD 0 ;
Amazon Route 53 Service;;;; USD 198 
;Hosted Zones:;Global; USD 1 ;
;Traffic Flow:;Global; USD 100 ;
;Standard Queries:;Global; USD 0 ;
;Latency Based Routing Queries:;Global; USD 1 ;
;Geo DNS Queries:;Global; USD 1 ;
;Basic Checks Within AWS:;Global; USD - ;
;Basic Checks Outside of AWS:;Global; USD 1 ;
;HTTPS Checks Within AWS:;Global; USD 1 ;
;HTTPS Checks Outside of AWS:;Global; USD 2 ;
;Resolver:;Global; USD 92 ;
Amazon CloudFront Service;;;; USD 0 
;Data Transfer Out:;Global; USD 0 ;
;Data Transfer Out to Origin:;Global; USD 0 ;
;Requests:;Global; USD 0 ;
Amazon Elastic Load Balancing (US East (N. Virginia));;;; USD 77 
;Application LBs:;US East (N. Virginia); USD 41 ;
;Network LBs:;US East (N. Virginia); USD 36 ;
Amazon Elastic Load Balancing (US East (Ohio));;;; USD 74 
;Application LBs:;US East (Ohio); USD 41 ;
;Network LBs:;US East (Ohio); USD 33 ;
Amazon Glacier Service (US East (N. Virginia));;;; USD 2 
;Storage:;US East (N. Virginia); USD 1 ;
;Retrieval Fees (Standard Tier):;US East (N. Virginia); USD 1 ;
;Upload Requests:;US East (N. Virginia); USD - ;
;Glacier Select:;US East (N. Virginia); USD 0 ;
;Inter-Region Data Transfer Out;US East (N. Virginia); USD 0 ;
AWS Data Transfer In;;;; USD - 
;US East (N. Virginia) Region:;Global; USD - ;
;US East (Ohio) Region:;Global; USD - ;
AWS Data Transfer Out;;;; USD - 
;US East (N. Virginia) Region:;Global; USD - ;
;US East (Ohio) Region:;Global; USD - ;
AWS Support (Business);;;; USD 1.375 
;Support for all AWS services:;; USD 1.375 ;
;;Free Tier Discount:;;-USD 49 
;;Total Monthly Payment:;; USD 16.730 